,Año Fecha de Inicio del Contrato,Departamento,Sector de Ambiente y Desarrollo Sostenible,Sector de Ciencia Tecnología,Sector de Cultura,Sector de Educación Nacional,Sector de Hacienda y Crédito Público,Sector de Inclusión Social y Reconciliación,Sector de Industria,Sector de Ley de Justicia,Sector de Minas y Energía,Sector de No aplica/No pertenece,Sector de Planeación,Sector de Presidencia de la República,Sector de Relaciones Exteriores,Sector de Salud y Protección Social,Sector de Servicio Público,Sector de Tecnologías de la Información y las Comunicaciones,Sector de Trabajo,Sector de Transporte,"Sector de Vivienda, Ciudad y Territorio",Sector de agricultura,Sector de defensa,Sector de deportes,Sector de interior,Estado del contrato Activo,Estado del contrato Cerrado,Estado del contrato En ejecución,Estado del contrato cedido,Estado del contrato enviado Proveedor,Destino gasto Funcionamiento,Destino gasto Inversión,Destino gasto No Definido,Codigo
44,2020.0,Córdoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48758235352,0,0,0,0,0,1637941636,0,0,12,0,846,0,21,8383489989,41991044999,21642000,23
45,2021.0,Córdoba,0,0,0,0,0,0,0,0,0,202867418,0,0,0,0,108351377659,0,0,0,0,0,432747410,0,0,0,0,696,0,2,9984587724,99002404763,0,23
46,2018.0,Distrito Capital de Bogotá,63326578323,1798715667,206924974813,255148546385,16832855666,93844478459,86400568036,11480927509,86123032,91354031224,59002290755,0,79000000,229544146180,373524183040,5041979299,0,560028130563,36184430686,8283009311,59534980883,5354113044,1068385533,15489,1622,0,475,4120,293839446863,1788391350414,82611651131,11
47,2019.0,Distrito Capital de Bogotá,70483557588,12500232881,182467611704,228634706090,31395085480,49624281534,12028476964,9850944158,92300000,70725463720,32224760541,0,167190002,147523052097,235201227310,1526801425,0,114045012030,22541873602,225678982,38335345748,1228767862,1761610684,9580,696,0,596,3614,256939940048,935071091592,70572948762,11
48,2020.0,Distrito Capital de Bogotá,67284768715,6418543525,74973752141,147536352658,35130733654,140203040650,27342954978,22885048755,388270631,148479370971,27828206040,0,315912900,472385343559,204858319479,3226118918,0,121403071428,52792343456,1072000000,30247557430,1247130628,1402132956,10519,226,18487,802,4849,397800785002,1180799815203,8820373267,11
49,2021.0,Distrito Capital de Bogotá,113139676102,302854000,114205907262,225011283524,40334334212,166440611089,40816756993,14502962718,428873333,933833502155,20448331587,0,219693620,216363059712,374024343374,1955678633,0,279950875441,76275588305,800000000,29429547928,1882833916,3824443872,67,2,31247,218,406,343106015999,2311085141777,0,11
50,2018.0,Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384167000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,384167000,0,95
51,2019.0,Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270882560,0,0,0,0,0,0,0,0,6,0,0,0,0,0,98819300,172063260,95
52,2020.0,Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893947630,0,0,0,0,0,0,0,0,0,0,0,0,2,0,893947630,0,95
53,2021.0,Guaviare,0,0,0,0,0,0,0,0,0,86037000,0,0,0,0,420000000,0,0,0,0,0,0,0,0,0,1,11,0,0,506037000,0,0,95
54,2018.0,Huila,0,0,275717950,0,0,0,0,0,0,79600638,0,0,0,0,85980983117,0,0,0,0,0,0,0,0,438,474,0,10,418,18834718234,66007857392,1493726079,41
55,2019.0,Huila,0,0,984742841,5000000,0,0,0,0,0,255000000,0,0,0,0,80261100605,0,0,0,684647024,0,0,0,0,885,366,0,22,175,18155518483,61554748419,2480223568,41
56,2020.0,Huila,0,0,146927683,0,0,0,0,0,0,588561000,0,0,0,0,271994429090,0,0,72705355,661824998,0,0,0,0,468,146,1633,27,182,15114162303,258253386837,96898986,41
57,2021.0,Huila,0,0,236865834,0,0,0,0,0,0,573648000,0,0,0,0,55788348501,0,0,4860000,525620300,0,0,0,0,0,0,2024,3,1,10943961518,46185381117,0,41
58,2018.0,La Guajira,0,0,0,0,0,0,0,0,0,576894446,0,0,0,0,339500000,0,0,0,0,0,4966097164,0,0,27,40,0,0,11,4966097164,784394446,132000000,44
59,2019.0,La Guajira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670000100,0,0,0,0,0,1164174802,0,0,38,5,0,0,1,1134920560,600000100,99254242,44
60,2020.0,La Guajira,0,0,0,0,0,0,0,0,0,23375619253,0,0,0,0,14752561577,0,0,0,15777532613,0,599459853,0,0,33,0,475,0,21,8763835199,45476637141,264700956,44
61,2021.0,La Guajira,0,0,0,0,0,0,0,5950000,0,4981014027,0,0,0,0,23013449316,0,0,0,646568810,0,971139149,0,0,1,0,234,0,0,5996475632,23580245670,41400000,44
62,2018.0,Magdalena,6449858054,0,0,0,0,0,0,0,0,0,0,0,0,298873510,1192884995,0,0,0,82000000,0,0,1408432930,0,489,0,0,1,11,1338634343,6976980179,1116434967,47
63,2019.0,Magdalena,3659808121,0,0,0,0,0,0,0,0,0,47745000,0,0,9856367,0,0,0,0,54797814143,0,0,1538782766,0,208,2,0,1,78,1252848163,58738509924,62648310,47
64,2020.0,Magdalena,5884076218,0,0,19999991,0,0,0,0,0,16679760506,135714286,0,0,171013181,23053389406,0,0,0,779980600,0,0,1033409112,0,192,0,978,1,51,9579988175,38139855125,37500000,47
65,2021.0,Magdalena,4751123842,0,0,0,0,0,0,0,0,2219738140,0,0,0,3190000,28309094509,0,0,0,205400000,0,0,558656766,0,4,1,675,0,39,12064187726,23983015531,0,47
66,2018.0,Meta,2265688694,0,0,0,0,0,0,0,0,1927942211,0,0,0,0,71448433,0,0,0,0,0,0,0,0,21,5,0,0,97,15636082,4183795146,65648110,50
67,2019.0,Meta,3714488906,0,0,0,0,0,0,0,0,487855200,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,107,53766665,3660722241,487855200,50
68,2020.0,Meta,3710704715,0,436651259,0,0,0,0,0,0,33014915442,0,0,0,0,39250055225,0,0,0,0,31759139,0,0,0,123,10,1010,5,1305,12063835248,64282139300,98111232,50
69,2021.0,Meta,1415436343,0,0,0,0,0,125498000,0,0,49016501290,0,0,0,0,82734374350,0,0,0,0,126932296,0,74300000,0,1,3,1743,10,11,27121637256,106371405023,0,50
70,2018.0,Nariño,0,0,0,0,0,0,0,118949596,0,1457857151,0,0,0,0,1668969960,0,0,0,0,0,2782404986,0,0,95,23,0,0,6,2893141720,1330180911,1804859062,52
71,2019.0,Nariño,0,0,0,0,0,0,0,4495755,0,2348693339,0,0,0,0,1868087634,0,0,0,0,0,983800475,0,0,75,21,0,0,27,1215944730,2569400639,1419731834,52
72,2020.0,Nariño,0,0,0,0,0,0,0,2389600,0,33483982576,0,0,0,0,13928750059,0,0,0,0,0,1970574809,0,0,32,33,1214,3,20,34685665401,14649419143,50612500,52
73,2021.0,Nariño,0,0,0,0,0,0,0,7112000,0,40514081116,0,0,0,0,34797308571,0,0,0,0,0,590939956,0,0,3,0,2105,6,15,51290357965,24619083678,0,52
74,2018.0,Norte de Santander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539341860,0,0,0,105000000,0,0,0,0,7,0,0,0,0,0,644341860,0,54
75,2019.0,Norte de Santander,0,0,0,0,0,0,0,0,0,352383000,0,0,0,0,354180852,0,0,0,0,0,0,0,0,22,0,0,0,0,381124181,325439671,0,54
76,2020.0,Norte de Santander,0,0,0,0,0,0,0,0,0,20815608619,0,0,0,0,34227146558,0,0,0,39900000,0,0,0,0,15,7,1887,4,30,12691515519,42391139658,0,54
77,2021.0,Norte de Santander,0,0,0,0,0,0,0,0,0,74329866185,89913700,0,0,113457885,25203981691,0,0,0,0,0,0,0,0,11,0,1225,2,7,14202705997,85534513464,0,54
78,2018.0,Putumayo,0,0,0,0,0,0,0,408665562,0,0,0,0,0,0,0,0,0,0,0,0,3319819299,0,0,139,1,0,2,0,3687784861,0,40700000,86
79,2019.0,Putumayo,0,0,0,0,0,0,0,0,0,5541113899,0,0,0,0,1080000000,0,0,0,0,0,2507382566,0,0,165,23,0,2,4,3373032915,4923502280,831961270,86
80,2020.0,Putumayo,0,0,0,0,0,0,0,0,0,4067217050,0,0,0,0,74296488851,0,0,0,0,0,2524085257,0,0,29,7,650,1,3,13182878484,67678095152,26817522,86
81,2021.0,Putumayo,0,0,0,0,0,0,0,0,0,3954262565,0,0,0,0,20910567794,0,0,0,0,0,1273252416,0,0,2,2,854,2,1,17796966890,8341115885,0,86
82,2018.0,Quindío,0,0,0,0,0,0,0,121671114,0,96000000,0,0,0,0,0,0,0,0,0,0,3189635931,188987336,0,35,0,0,0,34,3285693600,280871336,29729445,63
83,2019.0,Quindío,0,0,0,0,0,0,0,138524454,0,565934167,0,0,0,2927649669,490733100,0,0,0,0,0,1364303278,18293000,0,241,2,0,1,46,4321447401,929151067,254839200,63
84,2020.0,Quindío,0,0,0,0,0,0,0,220579920,0,20180866987,0,0,0,0,15343030194,0,0,0,0,0,929099318,5000000,0,21,709,2815,7,77,10614710562,26063865857,0,63
85,2021.0,Quindío,0,0,0,0,0,0,0,104621246,0,18428493376,0,0,0,0,19657220609,0,0,0,0,0,163461454,0,0,1,0,2410,6,57,9473790508,28880006177,0,63
86,2018.0,Risaralda,0,0,0,0,0,0,0,96034597,0,972296782,0,0,0,0,3909801972,0,0,0,0,0,8259213030,0,0,253,0,0,0,6,10578795419,2641188484,17362478,66
87,2019.0,Risaralda,0,0,0,0,0,0,0,6739444,0,260000000,240041639,0,0,2400000,5811692373,0,0,0,0,0,6408489748,0,0,113,1,0,0,0,6457060984,5265966220,1006336000,66
88,2020.0,Risaralda,0,0,0,0,0,0,0,1080000,0,24347165753,203551249,0,0,0,127886351077,0,0,0,0,0,7946568897,0,0,118,294,3256,12,176,17185163029,142680210779,519343168,66
89,2021.0,Risaralda,0,0,0,0,0,0,0,0,0,35423106145,9504889098,0,0,0,84655213087,0,0,18600000,0,0,20029131612,0,0,5,1,3227,14,51,40329305489,109214634453,87000000,66
90,2018.0,"San Andrés, Providencia y Santa Catalina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296928363,0,0,16,0,0,0,0,296928363,0,0,88
91,2019.0,"San Andrés, Providencia y Santa Catalina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236597205,0,0,14,0,0,0,0,236597205,0,0,88
92,2020.0,"San Andrés, Providencia y Santa Catalina",0,0,0,0,0,0,0,0,0,18242266699,0,0,0,0,0,0,0,0,0,0,885836497,0,0,18,1,847,1,3,6571684429,12556418767,0,88
93,2021.0,"San Andrés, Providencia y Santa Catalina",0,0,0,0,0,0,0,0,0,28157982343,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,695,1,3,23310642966,4847339377,0,88
94,2018.0,Santander,3528356058,0,1843096500,0,0,0,0,662579767,0,1516721269,115000000,0,0,0,26804817953,0,183620000,6066666,76604203,0,1413079304,1020753678,0,1643,410,0,6,127,7511143960,29270905929,388645509,68
